Id,Label,NodeType
nm0065376,Christian Becker,writer
tt6402468,Blood Red Sky,movie
nm0065663,James Becket,writer
tt4828328,The Seeds of Vandana Shiva,movie
nm0065692,Jo Beckett,writer
tt9032400,Eternals,movie
nm0066818,Chad Beguelin,writer
tt8721424,tick tick...BOOM!,movie
nm0067521,Baya Belal,writer
tt4761112,The Mauritanian,movie
nm0068106,Chris Bell,writer
tt12825264,Meatheads,movie
nm0069401,Rachel Belofsky,writer
tt11272066,Unknown Dimension: The Story of Paranormal Activity,movie
nm0070300,Georges Benayoun,writer
tt14861478,Prisonniers de son corps,movie
nm0070352,Detelin Benchev,writer
tt12229978,Humble,movie
nm0070380,Alessandro Bencivenni,writer
tt11847758,Una famiglia mostruosa,movie
nm0070456,Darren Bender,writer
tt18266294,Ferryman,movie
nm0072166,Jeff Benninghofen,writer
tt10808502,Bruiser,movie
nm0072600,Ned Benson,writer
tt3480822,Black Widow,movie
nm0072985,Barbara Bentree,writer
tt16746744,Origami in the Garden Film,movie
nm0073078,Rob Benvie,writer
tt9808268,Stanleyville,movie
nm0073229,John Beran,writer
tt0993840,Army of the Dead,movie
nm0074152,David Berger,writer
tt9784798,Judas and the Black Messiah,movie
nm0075040,Felix Bergsson,writer
tt15403332,The Glitterstorm,movie
nm0075849,Shari Springer Berman,writer
tt10962368,Things Heard & Seen,movie
nm0075915,Carlos Bermudez,writer
tt11286314,Don't Look Up,movie
nm0076281,Jonathan Chiche,writer
tt14813610,Si proche du soleil,movie
nm0076791,Kevin Bernhardt,writer
tt10339052,Best Sellers,movie
nm0077768,Will Berson,writer
tt9784798,Judas and the Black Messiah,movie
nm0078704,Éric Besnard,writer
tt11083552,Wrath of Man,movie
nm0079105,Carlos Rafael Betancourt,writer
tt15131152,Borrowed,movie
nm0079253,Tarabu Betserai Kirkland,writer
tt14933968,100 Years from Mississippi,movie
nm0079296,Fabrizio Bettelli,writer
tt13982526,Ai confini del male,movie
nm0079567,Avril Beukes,writer
tt2452150,Respect,movie
nm0080100,David Bezmozgis,writer
tt5806814,Charlotte,movie
nm0080181,Bhagyashree Patwardhan,writer
tt10152736,Thalaivi,movie
nm0080689,Paolo Bianchini,writer
tt15102858,Qualcos'altro che ancora non c'è,movie
nm0081449,Dragan Bjelogrlic,writer
tt8737152,Toma,movie
tt12653060,Bad Blood,movie
nm0083037,Jon Binkowski,writer
tt13403304,Because of Charley,movie
nm0083547,David Birke,writer
tt6823148,Benedetta,movie
nm0084585,Simone Bitton,writer
tt15520396,Ziyara,movie
nm0085266,Eric Black,writer
tt13347662,Aware: Glimpses of Consciousness,movie
nm0085359,Jordan Black,writer
tt3797512,Barb and Star Go to Vista Del Mar,movie
nm0086703,Richard Blake,writer
tt4539898,Blame,movie
nm0087904,Barry W. Blaustein,writer
tt6802400,Coming 2 America,movie
nm0087984,Tommy Blaze,writer
tt15132916,Nothing is Impossible,movie
tt14578032,God's Not Dead: We the People,movie
tt13515076,Love on the Rock,movie
nm0088912,Thomas Blom,writer
tt14409158,The Betrayal of Chora,movie
nm0088955,Neill Blomkamp,writer
tt13392012,Demonic,movie
nm0089054,Jimmy Blondell,writer
tt13098580,777,movie
nm0089778,Lisa Blumenberg,writer
tt13087796,I'm Your Man,movie
nm0090669,Nikola Bock,writer
tt6036804,Quiet Freedom,movie
nm0091632,Georgi Bogdanov,writer
tt14549684,The Cars We Drove into Capitalism,movie
nm0092677,Katie Boland,writer
tt12677948,We're All in This Together,movie
nm0093081,Icíar Bollaín,writer
tt14077696,Maixabel,movie
nm0093232,Gabriel Bologna,writer
tt2084952,Tango Shalom,movie
nm0093252,Luiz Bolognesi,writer
tt14029622,The Last Forest,movie
nm0095460,Ed Boon,writer
tt0293429,Mortal Kombat,movie
nm0096625,Holger Borggrefe,writer
tt14147174,Two is a Magic Number,movie
nm0097507,Joan Borsten,writer
tt10172716,Oleg: The Oleg Vidov Story,movie
nm0098058,Vasylj Bosovych,writer
tt13598166,Amulet of the Kingdom,movie
nm0098709,Juan Diego Botto,writer
tt6334354,The Suicide Squad,movie
nm0099398,Nicolas Boukhrief,writer
tt11083552,Wrath of Man,movie
nm0099448,Thierry Boulanger,writer
tt12814600,Finding Pandora X,movie
nm0099456,Antoinette Boulat,writer
tt14369304,My Night,movie
tt8847712,The French Dispatch,movie
nm0099625,Bert Bouma,writer
tt6851410,The Judgement,movie
nm0100522,Laurent Bouzereau,writer
tt3420504,Finch,movie
nm0100587,Xanaë Bove,writer
tt14916564,Une Vie Parallèle(s),movie
nm0101555,Shabbir Boxwala,writer
tt10295212,Shershaah,movie
nm0102311,Neil Boyle,writer
tt1361336,Tom & Jerry: The Movie,movie
nm0102637,Mike Brabender,writer
tt15390404,Snowy Night,movie
nm0103243,Grant Bradley,writer
tt10375916,Night of the Sicario,movie
nm0106153,Brandy Brawner,writer
tt12837402,Adolescents of Chymera,movie
nm0107150,David Brendel,writer
tt8847712,The French Dispatch,movie
nm0107216,Matthew Brenher,writer
tt13097336,The Lady of Heaven,movie
nm0108754,Jimmy Bridges,writer
tt5886520,The Runner,movie
nm0109199,Susan Brightbill,writer
tt9850740,Sold Out,movie
nm0109568,Robert ten Brink,writer
