Id,Label,NodeType
tt17509148,Religions: Ce qui nous relie,movie
nm0064651,André-Line Beauparlant,director
tt14177132,Petit Tom,movie
nm0064901,Pierre Beccu,director
tt15688362,Graines d'espoir,movie
nm0065663,James Becket,director
tt4828328,The Seeds of Vandana Shiva,movie
nm0065692,Jo Beckett,director
tt9032400,Eternals,movie
nm0067521,Baya Belal,director
tt4761112,The Mauritanian,movie
nm0068106,Chris Bell,director
tt12825264,Meatheads,movie
nm0068167,Drew Bell,director
tt7467926,Barking Mad,movie
nm0069409,Vít Belohradský,director
tt11907874,The Art of Dissent,movie
nm0070300,Georges Benayoun,director
tt14861478,Prisonniers de son corps,movie
nm0070305,Maurizio Benazzo,director
tt13863968,The Wisdom of Trauma,movie
nm0070352,Detelin Benchev,director
tt12229978,Humble,movie
nm0070456,Darren Bender,director
tt18266294,Ferryman,movie
nm0072600,Ned Benson,director
tt3480822,Black Widow,movie
nm0072985,Barbara Bentree,director
tt16746744,Origami in the Garden Film,movie
nm0075244,Gabriel Beristain,director
tt3480822,Black Widow,movie
nm0075849,Shari Springer Berman,director
tt10962368,Things Heard & Seen,movie
nm0076281,Jonathan Chiche,director
tt14813610,Si proche du soleil,movie
nm0076689,Kim Berner,director
tt6264654,Free Guy,movie
nm0078660,Jessica Beshir,director
tt13648216,Faya Dayi,movie
nm0078688,Erland Beskow,director
tt12567476,Sune - Mission Midsummer,movie
nm0078704,Éric Besnard,director
tt11083552,Wrath of Man,movie
nm0079105,Carlos Rafael Betancourt,director
tt15131152,Borrowed,movie
nm0079253,Tarabu Betserai Kirkland,director
tt14933968,100 Years from Mississippi,movie
nm0080100,David Bezmozgis,director
tt5806814,Charlotte,movie
nm0080181,Bhagyashree Patwardhan,director
tt10152736,Thalaivi,movie
nm0080689,Paolo Bianchini,director
tt15102858,Qualcos'altro che ancora non c'è,movie
nm0081023,James Bickert,director
tt10121392,Thunder Force,movie
nm0081514,Marc Bienstock,director
tt10954652,Old,movie
nm0083037,Jon Binkowski,director
tt13403304,Because of Charley,movie
nm0084585,Simone Bitton,director
tt15520396,Ziyara,movie
nm0085266,Eric Black,director
tt13347662,Aware: Glimpses of Consciousness,movie
nm0085359,Jordan Black,director
tt3797512,Barb and Star Go to Vista Del Mar,movie
nm0087757,Denise Blasor,director
tt13929804,Calle de la Resistencia,movie
nm0087777,Sarah Blaßkiewitz,director
tt11006636,Ivie wie Ivie,movie
nm0088912,Thomas Blom,director
tt14409158,The Betrayal of Chora,movie
nm0088955,Neill Blomkamp,director
tt13392012,Demonic,movie
nm0089054,Jimmy Blondell,director
tt13098580,777,movie
nm0091632,Georgi Bogdanov,director
tt14549684,The Cars We Drove into Capitalism,movie
nm0091688,Mikhail Bogdasarov,director
tt7601480,Major Grom: Plague Doctor,movie
nm0092514,Victor Bojinov,director
tt11744358,Golata istina za grupa Zhiguli,movie
nm0093081,Icíar Bollaín,director
tt14077696,Maixabel,movie
nm0093232,Gabriel Bologna,director
tt2084952,Tango Shalom,movie
nm0093252,Luiz Bolognesi,director
tt14029622,The Last Forest,movie
nm0094104,Olesya Bondareva,director
tt10172716,Oleg: The Oleg Vidov Story,movie
nm0094163,Eugenie Bondurant,director
tt10037014,Fear of Rain,movie
tt7069210,The Conjuring: The Devil Made Me Do It,movie
nm0094351,Massimo Bonetti,director
tt8101932,I Believe in One Only Father,movie
nm0095224,Pietro Bontempo,director
tt12680684,The Hand of God,movie
nm0095298,André Bonzel,director
tt8122738,Flickering Ghosts of Loves Gone By,movie
nm0095561,Mika Boorem,director
tt8489384,Hollywood.Con,movie
nm0096625,Holger Borggrefe,director
tt14147174,Two is a Magic Number,movie
nm0097507,Joan Borsten,director
tt10172716,Oleg: The Oleg Vidov Story,movie
nm0098395,Miguel Bosé,director
tt11214590,House of Gucci,movie
nm0098709,Juan Diego Botto,director
tt6334354,The Suicide Squad,movie
nm0099398,Nicolas Boukhrief,director
tt11083552,Wrath of Man,movie
nm0099448,Thierry Boulanger,director
tt12814600,Finding Pandora X,movie
nm0100522,Laurent Bouzereau,director
tt3420504,Finch,movie
nm0100587,Xanaë Bove,director
tt14916564,Une Vie Parallèle(s),movie
nm0100953,Brett Bower,director
tt10229068,Birdie,movie
nm0101711,Blake Boyd,director
tt7682204,Out of Time,movie
nm0102311,Neil Boyle,director
tt1361336,Tom & Jerry: The Movie,movie
nm0103892,Bob Bragg,director
tt14562534,Play Mate,movie
nm0105001,Spike Brandt,director
tt3554046,Space Jam: A New Legacy,movie
nm0106153,Brandy Brawner,director
tt12837402,Adolescents of Chymera,movie
nm0110557,Christo Brock,director
tt7616910,Brewmance,movie
nm0110978,Alexandra Brodsky,director
tt12862516,Porcupine,movie
nm0111306,Frans Bromet,director
tt13576352,In de ban van de bom,movie
tt15510260,Alsof ik Palestina heb gestolen,movie
nm0112647,Brian Brough,director
tt15214902,Love in Aruba,movie
nm0112739,Alex Broun,director
