Source,Target,Type,Weight,TitleType
nm0093252,tt14029622,Undirected,1,movie
nm0095460,tt0293429,Undirected,1,movie
nm0096625,tt14147174,Undirected,1,movie
nm0097507,tt10172716,Undirected,1,movie
nm0098058,tt13598166,Undirected,1,movie
nm0098709,tt6334354,Undirected,1,movie
nm0099398,tt11083552,Undirected,1,movie
nm0099448,tt12814600,Undirected,1,movie
nm0099456,tt14369304,Undirected,1,movie
nm0099456,tt8847712,Undirected,1,movie
nm0099625,tt6851410,Undirected,1,movie
nm0100522,tt3420504,Undirected,1,movie
nm0100587,tt14916564,Undirected,1,movie
nm0101555,tt10295212,Undirected,1,movie
nm11871069,tt1361336,Undirected,1,movie
nm0102637,tt15390404,Undirected,1,movie
nm0103243,tt10375916,Undirected,1,movie
nm0106153,tt12837402,Undirected,1,movie
nm0107150,tt8847712,Undirected,1,movie
nm0107216,tt13097336,Undirected,1,movie
nm0108754,tt5886520,Undirected,1,movie
nm0109199,tt9850740,Undirected,1,movie
nm0109568,tt15222928,Undirected,1,movie
nm0109847,tt14732672,Undirected,1,movie
nm0110978,tt12862516,Undirected,1,movie
nm7042543,tt14810692,Undirected,1,movie
nm0112321,tt1361336,Undirected,1,movie
nm0112739,tt7517418,Undirected,1,movie
nm0113105,tt12226872,Undirected,1,movie
nm0113105,tt15839362,Undirected,1,movie
nm0113640,tt2452150,Undirected,1,movie
nm3789381,tt14063098,Undirected,1,movie
nm3789381,tt14120534,Undirected,1,movie
nm1444752,tt6704894,Undirected,1,movie
nm0117389,tt10955020,Undirected,1,movie
nm0117806,tt3804810,Undirected,1,movie
nm0118071,tt15435040,Undirected,1,movie
nm0118374,tt1361336,Undirected,1,movie
nm0118564,tt1207641,Undirected,1,movie
nm0118767,tt11028100,Undirected,1,movie
nm0118767,tt14590666,Undirected,1,movie
nm0118809,tt11611416,Undirected,1,movie
nm0120392,tt6402468,Undirected,1,movie
nm0121235,tt6851410,Undirected,1,movie
nm0122089,tt9654370,Undirected,1,movie
nm0122089,tt4565822,Undirected,1,movie
nm0122403,tt10287908,Undirected,1,movie
nm0122428,tt2084952,Undirected,1,movie
nm0123398,tt15089436,Undirected,1,movie
nm0125511,tt6467266,Undirected,1,movie
nm0128540,tt14471254,Undirected,1,movie
nm0128687,tt12862516,Undirected,1,movie
nm0132064,tt13553662,Undirected,1,movie
nm0133081,tt5805904,Undirected,1,movie
nm0133081,tt13639780,Undirected,1,movie
nm0134224,tt10155932,Undirected,1,movie
nm0134234,tt6981064,Undirected,1,movie
nm0134545,tt11859012,Undirected,1,movie
nm0134639,tt13894060,Undirected,1,movie
nm0136021,tt6217926,Undirected,1,movie
nm0137228,tt13234058,Undirected,1,movie
nm2515731,tt7991608,Undirected,1,movie
nm0139203,tt10150684,Undirected,1,movie
nm0141127,tt10088984,Undirected,1,movie
nm0141133,tt14700948,Undirected,1,movie
nm0141133,tt10366460,Undirected,1,movie
nm0142404,tt11621960,Undirected,1,movie
nm5856563,tt11166512,Undirected,1,movie
nm11435521,tt5433138,Undirected,1,movie
nm0143404,tt4446228,Undirected,1,movie
nm0144459,tt12330184,Undirected,1,movie
nm0145418,tt7286976,Undirected,1,movie
nm7921462,tt12935940,Undirected,1,movie
nm0147270,tt8846478,Undirected,1,movie
nm0147270,tt12857724,Undirected,1,movie
nm0147700,tt7504818,Undirected,1,movie
nm0148304,tt11952722,Undirected,1,movie
nm0148406,tt10934398,Undirected,1,movie
nm0148482,tt10730376,Undirected,1,movie
nm0149949,tt11927670,Undirected,1,movie
nm0152660,tt6044276,Undirected,1,movie
nm0152680,tt9844322,Undirected,1,movie
nm0152911,tt11271038,Undirected,1,movie
nm1154123,tt8110232,Undirected,1,movie
nm0154833,tt11056732,Undirected,1,movie
nm0155624,tt16077408,Undirected,1,movie
nm0155751,tt15439196,Undirected,1,movie
nm12514756,tt10413230,Undirected,1,movie
nm0156959,tt15459190,Undirected,1,movie
nm0156977,tt11771642,Undirected,1,movie
nm0157973,tt12847812,Undirected,1,movie
nm0158118,tt15739358,Undirected,1,movie
nm0158903,tt15738560,Undirected,1,movie
nm0159280,tt2076822,Undirected,1,movie
nm0159369,tt14271514,Undirected,1,movie
nm0159550,tt3228774,Undirected,1,movie
nm0160184,tt14416450,Undirected,1,movie
nm0160323,tt9032400,Undirected,1,movie
nm0160935,tt7979580,Undirected,1,movie
nm0160935,tt6338498,Undirected,1,movie
nm0161200,tt9639470,Undirected,1,movie
nm0162382,tt14140844,Undirected,1,movie
nm0162445,tt14563506,Undirected,1,movie
nm0165146,tt5034838,Undirected,1,movie
nm0165146,tt3228774,Undirected,1,movie
nm0166767,tt10430850,Undirected,1,movie
nm0167139,tt7991608,Undirected,1,movie
nm0168566,tt10744316,Undirected,1,movie
nm0169173,tt11729298,Undirected,1,movie
nm2995927,tt7428112,Undirected,1,movie
nm0170888,tt11621528,Undirected,1,movie
nm0171216,tt13582496,Undirected,1,movie
nm2798096,tt11792512,Undirected,1,movie
nm0175202,tt3513522,Undirected,1,movie
nm0175937,tt7097896,Undirected,1,movie
nm0176625,tt11271038,Undirected,1,movie
nm0176721,tt13145700,Undirected,1,movie
nm0178376,tt7740510,Undirected,1,movie
nm0178713,tt7070330,Undirected,1,movie
nm0178840,tt6910678,Undirected,1,movie
nm0178868,tt6641582,Undirected,1,movie
nm0178910,tt8847712,Undirected,1,movie
nm0178932,tt15250412,Undirected,1,movie
nm0179096,tt7740496,Undirected,1,movie
nm0179373,tt15378300,Undirected,1,movie
nm0181117,tt13321730,Undirected,1,movie
nm0181579,tt15444704,Undirected,1,movie
nm0182425,tt5034838,Undirected,1,movie
nm0182450,tt12744120,Undirected,1,movie
nm0182499,tt12989910,Undirected,1,movie
nm0183016,tt15289702,Undirected,1,movie
nm11659889,tt7069210,Undirected,1,movie
nm0183849,tt8038724,Undirected,1,movie
nm0184076,tt16051820,Undirected,1,movie
nm0184078,tt16051820,Undirected,1,movie
nm0184620,tt9777666,Undirected,1,movie
nm0186695,tt5034838,Undirected,1,movie
nm0186726,tt13892710,Undirected,1,movie
nm0187648,tt7661518,Undirected,1,movie
nm0187912,tt13575806,Undirected,1,movie
nm0188244,tt11584538,Undirected,1,movie
nm0189713,tt15109082,Undirected,1,movie
nm0190208,tt14442522,Undirected,1,movie
nm0190427,tt13944978,Undirected,1,movie
nm0190432,tt11892272,Undirected,1,movie
nm8617078,tt10632226,Undirected,1,movie
nm0191712,tt11459366,Undirected,1,movie
nm0192451,tt7029534,Undirected,1,movie
nm0192966,tt6856242,Undirected,1,movie
nm0193876,tt15047244,Undirected,1,movie
nm0194662,tt14260194,Undirected,1,movie
nm0194953,tt14253138,Undirected,1,movie
nm0195064,tt12362248,Undirected,1,movie
nm0196335,tt13557918,Undirected,1,movie
nm0196836,tt10545704,Undirected,1,movie
nm0198190,tt14668028,Undirected,1,movie
nm0199180,tt7632008,Undirected,1,movie
nm0200604,tt13560124,Undirected,1,movie
nm0200789,tt1739305,Undirected,1,movie
nm0200847,tt6338498,Undirected,1,movie
nm0201304,tt10418662,Undirected,1,movie
nm0202220,tt15346136,Undirected,1,movie
nm0203457,tt6334354,Undirected,1,movie
nm0203626,tt3963674,Undirected,1,movie
nm0204049,tt14265992,Undirected,1,movie
nm0204720,tt11389748,Undirected,1,movie
nm0205293,tt5579352,Undirected,1,movie
nm0205484,tt12078092,Undirected,1,movie
nm9540207,tt6857376,Undirected,1,movie
nm2051315,tt9421570,Undirected,1,movie
nm0205929,tt8999904,Undirected,1,movie
nm0207435,tt11847758,Undirected,1,movie
nm0207767,tt12680684,Undirected,1,movie
nm0208069,tt14905528,Undirected,1,movie
nm0208143,tt7097896,Undirected,1,movie
nm0208143,tt0993840,Undirected,1,movie
nm0208143,tt10872600,Undirected,1,movie
nm0208143,tt12361974,Undirected,1,movie
nm0208439,tt12680684,Undirected,1,movie
nm0208818,tt14166050,Undirected,1,movie
nm0208969,tt15041424,Undirected,1,movie
nm0209906,tt13680732,Undirected,1,movie
nm0210320,tt6338498,Undirected,1,movie
nm0210948,tt8415986,Undirected,1,movie
nm0211278,tt13136084,Undirected,1,movie
nm0211869,tt12810802,Undirected,1,movie
nm0212918,tt10613176,Undirected,1,movie
nm0213476,tt15532248,Undirected,1,movie
nm0213529,tt15255738,Undirected,1,movie
nm0213766,tt11253564,Undirected,1,movie
nm0214998,tt14391578,Undirected,1,movie
nm0216133,tt6467266,Undirected,1,movie
nm0216466,tt3513522,Undirected,1,movie
nm0217052,tt14617914,Undirected,1,movie
nm0218560,tt12810612,Undirected,1,movie
nm0218934,tt9437152,Undirected,1,movie
