Source,Target,Type,Weight,TitleType
nm0096625,tt14147174,Undirected,1,movie
nm0097507,tt10172716,Undirected,1,movie
nm0098395,tt11214590,Undirected,1,movie
nm0098709,tt6334354,Undirected,1,movie
nm0099398,tt11083552,Undirected,1,movie
nm0099448,tt12814600,Undirected,1,movie
nm0100522,tt3420504,Undirected,1,movie
nm0100587,tt14916564,Undirected,1,movie
nm0100953,tt10229068,Undirected,1,movie
nm0101711,tt3522422,Undirected,1,movie
nm11871069,tt1361336,Undirected,1,movie
nm0103892,tt14562534,Undirected,1,movie
nm0105001,tt3554046,Undirected,1,movie
nm0106153,tt12837402,Undirected,1,movie
nm0110557,tt7616910,Undirected,1,movie
nm0110978,tt12862516,Undirected,1,movie
nm0111306,tt13576352,Undirected,1,movie
nm0111306,tt15510260,Undirected,1,movie
nm0112647,tt15214902,Undirected,1,movie
nm0112739,tt7517418,Undirected,1,movie
nm0113105,tt12226872,Undirected,1,movie
nm0113105,tt15839362,Undirected,1,movie
nm0113640,tt2452150,Undirected,1,movie
nm0115113,tt14030590,Undirected,1,movie
nm0116382,tt6704894,Undirected,1,movie
nm0116623,tt13540744,Undirected,1,movie
nm0116641,tt10872600,Undirected,1,movie
nm0117389,tt10955020,Undirected,1,movie
nm0117464,tt12361974,Undirected,1,movie
nm0117806,tt3804810,Undirected,1,movie
nm0118249,tt9178020,Undirected,1,movie
nm0118809,tt11611416,Undirected,1,movie
nm0120392,tt6402468,Undirected,1,movie
nm0121130,tt16252560,Undirected,1,movie
nm0121235,tt6851410,Undirected,1,movie
nm0122089,tt9654370,Undirected,1,movie
nm0122089,tt4565822,Undirected,1,movie
nm12758166,tt3758814,Undirected,1,movie
nm0123398,tt15089436,Undirected,1,movie
nm0123770,tt10872600,Undirected,1,movie
nm0125270,tt8635092,Undirected,1,movie
nm0125313,tt11284502,Undirected,1,movie
nm0125511,tt6467266,Undirected,1,movie
nm0128540,tt14471254,Undirected,1,movie
nm0128687,tt12862516,Undirected,1,movie
nm0128745,tt14513608,Undirected,1,movie
nm0128745,tt14546488,Undirected,1,movie
nm0131653,tt10293406,Undirected,1,movie
nm0132064,tt13553662,Undirected,1,movie
nm0133163,tt15011630,Undirected,1,movie
nm0134234,tt6981064,Undirected,1,movie
nm0134749,tt12978936,Undirected,1,movie
nm0134922,tt6334354,Undirected,1,movie
nm0136021,tt6217926,Undirected,1,movie
nm0136057,tt6902332,Undirected,1,movie
nm0137228,tt13234058,Undirected,1,movie
nm0137530,tt14941184,Undirected,1,movie
nm0141127,tt10088984,Undirected,1,movie
nm0141133,tt14700948,Undirected,1,movie
nm0141133,tt10366460,Undirected,1,movie
nm5856563,tt11166512,Undirected,1,movie
nm0143403,tt5433138,Undirected,1,movie
nm0145277,tt14452464,Undirected,1,movie
nm0145418,tt7286976,Undirected,1,movie
nm0146226,tt15331298,Undirected,1,movie
nm0146445,tt4440842,Undirected,1,movie
nm0147270,tt8846478,Undirected,1,movie
nm0147270,tt12857724,Undirected,1,movie
nm0148406,tt10934398,Undirected,1,movie
nm0148482,tt10730376,Undirected,1,movie
nm0150072,tt15474124,Undirected,1,movie
nm0151243,tt2382320,Undirected,1,movie
nm0151612,tt15840228,Undirected,1,movie
nm0155624,tt16077408,Undirected,1,movie
nm0155751,tt15439196,Undirected,1,movie
nm0156057,tt4372572,Undirected,1,movie
nm0156873,tt10413230,Undirected,1,movie
nm0156977,tt11771642,Undirected,1,movie
nm0158147,tt6079772,Undirected,1,movie
nm0158404,tt11317408,Undirected,1,movie
nm0158903,tt15738560,Undirected,1,movie
nm0160100,tt10384366,Undirected,1,movie
nm0160658,tt6060964,Undirected,1,movie
nm0162382,tt14140844,Undirected,1,movie
nm0162445,tt14563506,Undirected,1,movie
nm0165866,tt11792512,Undirected,1,movie
nm0166794,tt13098282,Undirected,1,movie
nm0168566,tt10744316,Undirected,1,movie
nm0168727,tt15727368,Undirected,1,movie
nm2995927,tt7428112,Undirected,1,movie
nm0170888,tt11621528,Undirected,1,movie
nm3283974,tt11872668,Undirected,1,movie
nm0171216,tt13582496,Undirected,1,movie
nm0172099,tt14578402,Undirected,1,movie
nm0172116,tt12789558,Undirected,1,movie
nm7399344,tt11792512,Undirected,1,movie
nm3274983,tt13322120,Undirected,1,movie
nm0173761,tt9032400,Undirected,1,movie
nm0175928,tt14375756,Undirected,1,movie
nm0175937,tt7097896,Undirected,1,movie
