Source,Target,Type,Weight,TitleType
nm0051720,tt4244994,Undirected,1,movie
nm0051917,tt14810692,Undirected,1,movie
nm0052394,tt4446228,Undirected,1,movie
nm0052532,tt9766332,Undirected,1,movie
nm0052551,tt2382320,Undirected,1,movie
nm0052943,tt11859510,Undirected,1,movie
nm0053028,tt16971728,Undirected,1,movie
nm0054621,tt12831788,Undirected,1,movie
nm0054647,tt14286394,Undirected,1,movie
nm0055167,tt11214590,Undirected,1,movie
nm0055325,tt14035292,Undirected,1,movie
nm0056440,tt14688330,Undirected,1,movie
nm0056461,tt3480822,Undirected,1,movie
nm0056881,tt11285280,Undirected,1,movie
nm0057349,nm9949746,Undirected,1,movie
nm0058654,tt14207514,Undirected,1,movie
nm0058898,tt1160419,Undirected,1,movie
nm0059667,tt10810850,Undirected,1,movie
nm0059935,tt9815156,Undirected,1,movie
nm0060157,tt5926530,Undirected,1,movie
nm0060411,tt9471816,Undirected,1,movie
nm0060489,tt15670384,Undirected,1,movie
nm0060687,tt4995540,Undirected,1,movie
nm0060814,tt2717870,Undirected,1,movie
nm9639740,tt6802400,Undirected,1,movie
nm6788800,tt6755810,Undirected,1,movie
nm0061505,tt10016180,Undirected,1,movie
nm0062049,tt6402468,Undirected,1,movie
nm0062450,tt6341832,Undirected,1,movie
nm0062581,tt4732794,Undirected,1,movie
nm0063005,tt13002242,Undirected,1,movie
nm0063311,tt3228774,Undirected,1,movie
nm0063400,tt13244380,Undirected,1,movie
nm0063629,tt3420504,Undirected,1,movie
nm7033443,tt3581652,Undirected,1,movie
nm0064250,tt14620732,Undirected,1,movie
nm0064290,tt10505316,Undirected,1,movie
nm0065007,tt5034838,Undirected,1,movie
nm0065200,tt10838180,Undirected,1,movie
nm0065398,tt6472860,Undirected,1,movie
nm0065730,tt11656220,Undirected,1,movie
nm0066854,tt5344054,Undirected,1,movie
nm0067751,tt6264654,Undirected,1,movie
nm0067983,tt15021992,Undirected,1,movie
nm7513105,tt7467926,Undirected,1,movie
nm9047980,tt1160419,Undirected,1,movie
nm0068933,tt10856166,Undirected,1,movie
nm0068933,tt2076822,Undirected,1,movie
nm0069168,tt12463560,Undirected,1,movie
nm0069248,tt2382320,Undirected,1,movie
nm0070305,tt13863968,Undirected,1,movie
nm0070307,tt14039392,Undirected,1,movie
nm0070352,tt12229978,Undirected,1,movie
nm0070380,tt11847758,Undirected,1,movie
nm0071042,tt14773800,Undirected,1,movie
nm11601209,tt4513678,Undirected,1,movie
nm3656146,tt4995540,Undirected,1,movie
nm0072166,nm7913313,Undirected,1,movie
nm0072380,tt10872600,Undirected,1,movie
nm0072829,tt6654210,Undirected,1,movie
nm3581189,tt0993840,Undirected,1,movie
nm0073467,tt1160419,Undirected,1,movie
nm0073611,tt3661210,Undirected,1,movie
nm2355319,tt3554046,Undirected,1,movie
nm0075028,tt14217100,Undirected,1,movie
nm0075040,tt15403332,Undirected,1,movie
nm0076281,tt14813610,Undirected,1,movie
nm0076776,tt3272066,Undirected,1,movie
nm0076791,tt10339052,Undirected,1,movie
nm0078804,tt4995540,Undirected,1,movie
nm0079296,tt13982526,Undirected,1,movie
nm0079827,tt4513678,Undirected,1,movie
nm0079836,tt12861974,Undirected,1,movie
nm0080171,tt11260832,Undirected,1,movie
nm9943707,tt10270250,Undirected,1,movie
nm9943707,tt10083868,Undirected,1,movie
nm0080311,tt15091500,Undirected,1,movie
nm0080416,tt15097216,Undirected,1,movie
nm0080900,tt15211076,Undirected,1,movie
nm0080977,tt12825680,Undirected,1,movie
nm0080977,tt14035292,Undirected,1,movie
nm0081449,tt8737152,Undirected,1,movie
nm0081449,tt12653060,Undirected,1,movie
nm0082099,tt11744358,Undirected,1,movie
nm0082870,tt6079772,Undirected,1,movie
nm8727150,tt13456656,Undirected,1,movie
nm0083012,tt4513678,Undirected,1,movie
nm0083375,tt4244994,Undirected,1,movie
nm8738066,tt8114980,Undirected,1,movie
nm8738066,tt14121726,Undirected,1,movie
nm0083714,nm8384346,Undirected,1,movie
nm0084270,tt9861480,Undirected,1,movie
nm0084468,tt3420504,Undirected,1,movie
nm0085237,tt13031460,Undirected,1,movie
nm3327656,tt3797512,Undirected,1,movie
nm0086206,tt10360004,Undirected,1,movie
nm7851310,tt4539898,Undirected,1,movie
nm0087407,tt11018044,Undirected,1,movie
nm0087640,tt12111424,Undirected,1,movie
nm0087756,tt12548318,Undirected,1,movie
nm10211702,tt7765850,Undirected,1,movie
nm0087984,tt15132916,Undirected,1,movie
nm0087984,tt14578032,Undirected,1,movie
nm0087984,tt13515076,Undirected,1,movie
nm0089869,tt10869766,Undirected,1,movie
nm0090027,tt6856242,Undirected,1,movie
nm0090126,tt11214590,Undirected,1,movie
nm0090965,tt9748424,Undirected,1,movie
nm0091688,tt7601480,Undirected,1,movie
nm4362764,tt8045592,Undirected,1,movie
nm0091806,tt13190778,Undirected,1,movie
nm0093232,tt2084952,Undirected,1,movie
nm0093609,tt10696896,Undirected,1,movie
nm0094351,tt8101932,Undirected,1,movie
nm0094495,tt2382320,Undirected,1,movie
nm0095224,tt12680684,Undirected,1,movie
